"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","Epoch..TDB.","e","i..deg.","w..deg.","Node..deg.","q..AU.","Q..AU.","P..yr.","MOID..AU.","A1..AU.d.2.","A2..AU.d.2.","A3..AU.d.2.","DT..d.","ref","Object_name","crush","avg_speed"
"Elephant Moraine 87819",8369,"Valid","L6",25.9,"Found",1987,-76.28346,156.45159,"(-76.28346, 156.45159)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87820",8370,"Valid","H6",221.4,"Found",1987,-76.2681,156.47082,"(-76.2681, 156.47082)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87821",8371,"Valid","H5",152.5,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87823",8373,"Valid","H3.9",95.4,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87824",8374,"Valid","H6",20.1,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87827",8377,"Valid","L6",67.8,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87829",8379,"Valid","L6",116.2,"Found",1987,-76.28131,156.45469,"(-76.28131, 156.45469)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87832",8382,"Valid","H5",12.6,"Found",1987,-76.26778,156.48598,"(-76.26778, 156.48598)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87833",8383,"Valid","L6",5.7,"Found",1987,-76.28448,156.44799,"(-76.28448, 156.44799)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87834",8384,"Valid","H6",0.8,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87835",8385,"Valid","L6",1.7,"Found",1987,-76.28438,156.45086,"(-76.28438, 156.45086)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87837",8387,"Valid","H6",1.6,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87839",8389,"Valid","L6",12.1,"Found",1987,-76.28442,156.44581,"(-76.28442, 156.44581)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87840",8390,"Valid","H5",81.7,"Found",1987,-76.2786,157.22687,"(-76.2786, 157.22687)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87841",8391,"Valid","L6",18.6,"Found",1987,-76.28326,156.44887,"(-76.28326, 156.44887)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87842",8392,"Valid","L6",29.8,"Found",1987,-76.26907,156.50928,"(-76.26907, 156.50928)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87848",8398,"Valid","L6",1.5,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
